Volume[Å³/atom],Energy[eV/atom]
18.76532879,-5.37994468
18.79384462,-5.38155726
18.82236045,-5.38313589
18.85087628,-5.38468083
18.87939210,-5.38619233
18.90790793,-5.38767064
18.93642376,-5.38911601
18.96493959,-5.39052869
18.99345541,-5.39190893
19.02197124,-5.39325696
19.05048707,-5.39457303
19.07900290,-5.39585738
19.10751872,-5.39711025
19.13603455,-5.39833186
19.16455038,-5.39952246
19.19306621,-5.40068227
19.22158203,-5.40181153
19.25009786,-5.40291046
19.27861369,-5.40397929
19.30712952,-5.40501825
19.33564534,-5.40602755
19.36416117,-5.40700741
19.39267700,-5.40795807
19.42119283,-5.40887973
19.44970865,-5.40977260
19.47822448,-5.41063691
19.50674031,-5.41147287
19.53525614,-5.41228068
19.56377196,-5.41306055
19.59228779,-5.41381270
19.62080362,-5.41453733
19.64931945,-5.41523463
19.67783527,-5.41590482
19.70635110,-5.41654810
19.73486693,-5.41716466
19.76338275,-5.41775470
19.79189858,-5.41831841
19.82041441,-5.41885600
19.84893024,-5.41936766
19.87744606,-5.41985357
19.90596189,-5.42031393
19.93447772,-5.42074893
19.96299355,-5.42115875
19.99150937,-5.42154358
20.02002520,-5.42190360
20.04854103,-5.42223899
20.07705686,-5.42254994
20.10557268,-5.42283663
20.13408851,-5.42309924
20.16260434,-5.42333794
20.19112017,-5.42355291
20.21963599,-5.42374432
20.24815182,-5.42391235
20.27666765,-5.42405717
20.30518348,-5.42417894
20.33369930,-5.42427785
20.36221513,-5.42435405
20.39073096,-5.42440771
20.41924679,-5.42443900
20.44776261,-5.42444809
20.47627844,-5.42443513
20.50479427,-5.42440029
20.53331010,-5.42434373
20.56182592,-5.42426560
20.59034175,-5.42416607
20.61885758,-5.42404529
20.64737341,-5.42390341
20.67588923,-5.42374060
20.70440506,-5.42355700
20.73292089,-5.42335278
20.76143672,-5.42312806
20.78995254,-5.42288302
20.81846837,-5.42261780
20.84698420,-5.42233253
20.87550002,-5.42202738
20.90401585,-5.42170249
20.93253168,-5.42135799
20.96104751,-5.42099404
20.98956333,-5.42061078
21.01807916,-5.42020834
21.04659499,-5.41978687
21.07511082,-5.41934651
21.10362664,-5.41888739
21.13214247,-5.41840965
21.16065830,-5.41791342
21.18917413,-5.41739885
21.21768995,-5.41686607
21.24620578,-5.41631520
21.27472161,-5.41574639
21.30323744,-5.41515975
21.33175326,-5.41455543
21.36026909,-5.41393355
21.38878492,-5.41329423
21.41730075,-5.41263761
21.44581657,-5.41196382
21.47433240,-5.41127297
21.50284823,-5.41056519
21.53136406,-5.40984061
21.55987988,-5.40909934
21.58839571,-5.40834152
