Component_1,Component_2
0.89424918,-0.00000000
-0.22932142,0.80238031
-0.20628490,0.00000000
-0.22932142,-0.27027268
-0.22932142,-0.53210762
0.33246388,0.40119015
0.33246388,-0.26605381
0.34398214,0.00000000
0.33246388,-0.13513634
-0.22932142,0.13513634
-0.21780316,0.40119015
-0.21780316,-0.26605381
-0.22932142,0.26605381
-0.22932142,-0.40119015
-0.21780316,-0.13513634
0.61335653,0.20059508
0.61335653,-0.13302691
0.61911566,0.00000000
0.61335653,-0.06756817
0.05157123,0.60178523
0.05157123,-0.39908072
0.06884862,0.00000000
0.05157123,-0.20270451
-0.22932142,0.46875832
-0.22932142,-0.19848564
-0.21204403,0.20059508
-0.21204403,-0.13302691
-0.21204403,-0.06756817
-0.22356229,0.60178523
-0.22356229,-0.39908072
-0.22356229,-0.20270451
-0.22932142,-0.00210943
-0.22932142,-0.33573142
-0.22932142,0.53421706
-0.22932142,-0.46664889
-0.22164258,0.09009089
-0.22164258,-0.26746010
-0.22164258,0.17736921
-0.22932142,-0.00000000
0.15288095,0.26746010
0.14520211,0.17736921
0.14520211,0.09009089
0.15288095,-0.17736921
0.14520211,-0.26746010
0.15288095,-0.09009089
0.33822301,0.20059508
0.33246388,0.13302691
0.33246388,0.06756817
0.33822301,-0.06756817
0.33822301,-0.13302691
0.33246388,-0.20059508
0.05157123,0.26816325
0.05733036,0.40119015
0.05157123,0.33362198
-0.22356229,0.26816325
-0.22356229,0.33362198
-0.22932142,0.20059508
-0.22356229,-0.06545874
0.05157123,-0.06545874
0.05733036,-0.26605381
0.05157123,-0.33362198
-0.22356229,-0.33362198
-0.22932142,-0.13302691
0.06308949,0.20059508
0.06308949,-0.13302691
0.06308949,-0.06756817
-0.21780316,0.06756817
-0.21780316,0.13302691
-0.21780316,-0.20059508
0.05157123,0.06545874
0.05157123,-0.26816325
0.05733036,-0.13513634
-0.22932142,-0.06756817
-0.22356229,0.06545874
-0.22356229,-0.26816325
-0.22356229,0.00000000
0.05733036,-0.20059508
0.05157123,-0.00000000
0.05733036,0.06756817
0.05733036,0.13302691
-0.22471412,-0.05405454
-0.00460730,-0.05405454
0.00000000,-0.21453060
0.00000000,0.05236699
-0.22010682,0.00000000
0.00460730,0.05405454
0.00460730,-0.16047606
0.00460730,0.10642152
0.00000000,-0.26689759
0.00000000,-0.05236699
-0.22471412,-0.10642152
-0.00460730,-0.10642152
0.00000000,0.26689759
0.00000000,0.21453060
-0.22471412,0.16047606
-0.00460730,0.16047606
0.22471412,0.10642152
0.22471412,-0.16047606
0.22010682,-0.00000000
0.22471412,0.05405454
