fcc_hf,fcc_c11,fcc_c12,fcc_c44
0.00000000,114.50800000,60.74750000,32.52860000
1.66000000,294.55100000,167.05800000,143.76100000
7.63300000,191.39800000,121.35100000,133.60600000
0.00000000,278.36500000,156.33000000,132.81300000
38.80000000,39.29640000,337.52400000,-89.55120000
-22.57000000,249.36500000,126.97300000,113.51900000
6.33030000,288.23900000,138.74000000,120.88400000
-13.76000000,209.62300000,109.16300000,96.41550000
-34.97000000,219.58600000,135.16800000,97.03920000
12.43900000,316.16600000,200.72000000,153.77000000
4.44800000,269.76700000,183.58200000,115.07200000
16.36640000,293.81800000,192.61900000,141.60200000
-0.01000000,292.61600000,167.49200000,149.09800000
7.86500000,317.73900000,195.78700000,141.01600000
-2.01700000,241.55300000,161.88400000,116.24100000
-19.13600000,211.43500000,84.05330000,64.79120000
2.07070000,196.08200000,98.75240000,72.51380000
-10.72100000,184.89000000,77.42410000,64.32880000
-23.31400000,215.61500000,77.50870000,51.31350000
-15.23700000,262.20000000,173.08700000,137.18100000
16.97900000,391.58100000,178.30400000,133.37200000
-7.64270000,255.55100000,129.48300000,113.26000000
-30.05000000,262.52200000,174.24700000,126.14200000
8.54500000,287.22400000,160.34500000,162.34100000
19.73000000,374.02800000,174.91100000,109.10400000
3.51000000,304.16100000,130.21000000,100.89200000
12.53000000,247.38300000,115.00400000,154.47600000
4.01400000,231.05700000,158.46400000,93.30700000
1.94900000,257.99800000,168.58300000,124.80900000
23.20340000,407.66500000,188.63400000,111.13600000
-4.02400000,253.40100000,150.40100000,123.27200000
-0.59800000,283.50200000,157.28000000,142.91500000
1.81900000,266.46000000,155.94200000,149.38600000
0.60800000,285.31400000,172.18600000,149.71400000
15.47300000,366.15100000,183.59900000,107.25300000
10.33150000,254.50100000,140.66200000,145.72000000
7.57600000,245.08400000,153.44500000,132.86800000
-0.55600000,248.60500000,166.98000000,120.61000000
6.72500000,302.92800000,182.85800000,157.56100000
-16.35800000,203.05500000,135.25500000,114.48400000
-24.39400000,233.15100000,147.52700000,121.60100000
-4.61000000,233.72600000,158.34900000,134.08600000
-3.99000000,294.07600000,125.39700000,118.72300000
-11.47600000,180.79300000,111.80500000,116.25700000
-22.28800000,216.71700000,144.32300000,114.01000000
-20.02400000,203.37900000,114.18400000,97.28080000
-31.25600000,218.58700000,129.10100000,104.23700000
-10.62900000,235.09300000,138.81800000,107.25300000
-26.63400000,196.55100000,119.58000000,96.52950000
-5.66900000,214.18100000,105.29900000,100.33100000
-15.47400000,227.65600000,134.31400000,100.54800000
-6.56680000,269.58700000,168.89000000,140.98600000
-14.55200000,215.46700000,150.23000000,117.61100000
-19.88900000,251.27100000,155.61100000,135.00900000
9.44300000,241.00700000,127.50700000,145.53900000
-0.22200000,264.42200000,167.00600000,132.03600000
8.30400000,284.89100000,165.23900000,154.63800000
14.18500000,245.79700000,156.15200000,139.48000000
3.31000000,267.29200000,191.15800000,127.55700000
7.76040000,320.70500000,135.84100000,120.21000000
-1.71800000,267.03600000,172.98300000,129.17000000
11.88900000,237.63100000,131.67500000,130.31000000
11.22300000,319.73300000,207.75200000,145.13100000
-11.33000000,219.78000000,143.35700000,110.80300000
-1.38480000,276.90400000,144.86400000,119.84900000
-16.43400000,188.49700000,142.18200000,106.29900000
10.42700000,223.00900000,119.54900000,135.66100000
1.25500000,227.18500000,162.55100000,108.23100000
8.42000000,223.45800000,132.76300000,131.22100000
-24.53000000,254.71300000,158.82600000,132.71800000
-16.42000000,264.08500000,171.34000000,128.24500000
-24.37000000,236.45100000,152.25500000,123.19000000
5.91100000,259.96700000,144.24100000,147.07100000
-2.05500000,266.12500000,164.29000000,131.96200000
3.83600000,237.71700000,138.61600000,127.93300000
7.07800000,250.58400000,144.57300000,142.41800000
-8.03400000,215.80700000,143.72000000,123.40200000
-10.85000000,234.55600000,145.11900000,131.77700000
-4.30900000,233.19700000,150.07400000,132.91800000
-18.63400000,217.33800000,147.46000000,120.12700000
3.77100000,277.98100000,161.03900000,154.28500000
-12.27100000,248.45400000,150.15200000,139.99700000
-11.43700000,220.92200000,138.96800000,126.69300000
-17.69600000,241.40100000,157.71600000,127.59900000
6.25100000,247.82500000,151.19300000,139.06400000
-2.96800000,212.42400000,142.65800000,129.84600000
-5.68600000,210.23100000,138.87300000,122.23100000
-13.40000000,210.29800000,154.19100000,114.03800000
0.73300000,218.70500000,141.79100000,123.05700000
2.91000000,251.24200000,156.69900000,125.95900000
10.86000000,281.80300000,177.80100000,149.03800000
-1.48000000,222.37800000,144.12900000,130.72800000
-15.09500000,235.39500000,159.41500000,127.32000000
-3.64800000,227.00600000,146.18800000,136.69200000
5.55300000,278.41900000,161.67300000,154.55700000
-8.95500000,254.98500000,154.17600000,144.59100000
-23.89500000,211.61100000,136.27600000,113.12100000
-12.68600000,195.16100000,123.32200000,109.77200000
-14.62900000,202.21300000,131.21800000,116.12000000
-8.29900000,203.80200000,125.79300000,114.28400000
