Volume[Å³],Energy[eV/atom]
43.51310814,-3.70655893
43.57803817,-3.70791196
43.64296820,-3.70923473
43.70789823,-3.71052750
43.77282826,-3.71179051
43.83775829,-3.71302403
43.90268831,-3.71422831
43.96761834,-3.71540360
44.03254837,-3.71655013
44.09747840,-3.71766816
44.16240843,-3.71875794
44.22733846,-3.71981969
44.29226848,-3.72085366
44.35719851,-3.72186008
44.42212854,-3.72283919
44.48705857,-3.72379122
44.55198860,-3.72471640
44.61691862,-3.72561495
44.68184865,-3.72648711
44.74677868,-3.72733310
44.81170871,-3.72815313
44.87663874,-3.72894744
44.94156877,-3.72971623
45.00649879,-3.73045973
45.07142882,-3.73117815
45.13635885,-3.73187169
45.20128888,-3.73254058
45.26621891,-3.73318502
45.33114893,-3.73380521
45.39607896,-3.73440137
45.46100899,-3.73497369
45.52593902,-3.73552238
45.59086905,-3.73604764
45.65579908,-3.73654967
45.72072910,-3.73702866
45.78565913,-3.73748481
45.85058916,-3.73791830
45.91551919,-3.73832934
45.98044922,-3.73871812
46.04537925,-3.73908481
46.11030927,-3.73942961
46.17523930,-3.73975270
46.24016933,-3.74005427
46.30509936,-3.74033450
46.37002939,-3.74059357
46.43495941,-3.74083165
46.49988944,-3.74104893
46.56481947,-3.74124558
46.62974950,-3.74142178
46.69467953,-3.74157769
46.75960956,-3.74171349
46.82453958,-3.74182935
46.88946961,-3.74192544
46.95439964,-3.74200193
47.01932967,-3.74205898
47.08425970,-3.74209675
47.14918973,-3.74211541
47.21411975,-3.74211511
47.27904978,-3.74209603
47.34397981,-3.74205832
47.40890984,-3.74200213
47.47383987,-3.74192763
47.53876989,-3.74183496
47.60369992,-3.74172429
47.66862995,-3.74159576
47.73355998,-3.74144952
47.79849001,-3.74128573
47.86342004,-3.74110453
47.92835006,-3.74090607
47.99328009,-3.74069049
48.05821012,-3.74045795
48.12314015,-3.74020858
48.18807018,-3.73994253
48.25300020,-3.73965994
48.31793023,-3.73936094
48.38286026,-3.73904569
48.44779029,-3.73871430
48.51272032,-3.73836694
48.57765035,-3.73800371
48.64258037,-3.73762477
48.70751040,-3.73723025
48.77244043,-3.73682027
48.83737046,-3.73639498
48.90230049,-3.73595449
48.96723052,-3.73549894
49.03216054,-3.73502845
49.09709057,-3.73454316
49.16202060,-3.73404318
49.22695063,-3.73352865
49.29188066,-3.73299969
49.35681068,-3.73245641
49.42174071,-3.73189895
49.48667074,-3.73132742
49.55160077,-3.73074194
49.61653080,-3.73014263
49.68146083,-3.72952961
49.74639085,-3.72890300
49.81132088,-3.72826291
49.87625091,-3.72760945
49.94118094,-3.72694275
